Time(s),TotalLungVolume(L),TidalVolume(mL),OxygenSaturation,CardiacOutput(L/min),HeartRate(1/min),HeartStrokeVolume(mL),MeanArterialPressure(mmHg),SystolicArterialPressure(mmHg),RespirationRate(1/min),EndTidalCarbonDioxideFraction,ArterialBloodPH,Aorta-Oxygen-PartialPressure(mmHg),Aorta-CarbonDioxide-PartialPressure(mmHg)
0.02,2.234,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.04,2.234,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.06,2.234,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.08,2.234,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.10,2.234,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.12,2.234,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.14,2.234,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.16,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.18,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.20,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.22,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.24,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.26,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.28,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.30,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.32,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.34,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.36,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.38,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.40,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
0.42,2.233,387.526,0.979,5.67,72,78.7,95.1,113.4,18.07,0.0416,7.40,97,41,0
